species,taxonKeys,Kingdom,Phylum,Class,Order,Family,Genus
Lestes alacer,5051641,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes
Lestes forficula,5051634,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes
Libellula comanche,1427887,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Libellula croceipennis,1427904,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Libellula incesta,1427899,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Libellula luctuosa,1427951,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Libellula needhami,1427959,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Libellula pulchella,1427889,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Libellula vibrans,1427933,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Lineodes integra,1892427,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Lineodes
Lobocleta ossularia,1990335,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobocleta
Lycia ypsilon,5147703,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lycia
Lycomorpha pholus,1804512,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lycomorpha
Macromia illinoiensis,1429930,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Macromia
Malacosoma disstria,5101763,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma
Mallophora leschenaultii,5092806,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Mallophora
Megalographa biloba,8729319,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Megalographa
Megalopyge opercularis,1751572,Animalia,Arthropoda,Insecta,Lepidoptera,Megalopygidae,Megalopyge
Megaphasma denticrus,1411531,Animalia,Arthropoda,Insecta,Phasmida,Diapheromeridae,Megaphasma
Megatibicen resh,9402991,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen
Melipotis acontioides,1790240,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis
Melipotis cellaris,1790230,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis
Melipotis indomita,1790257,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis
Melipotis jucunda,1790258,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis
Melissodes bimaculatus,5040660,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Melissodes
Menecles insertus,2079055,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Menecles
Menosoma cincta,2032483,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Menosoma
Mestra amymone,5127805,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Mestra
Metcalfa pruinosa,2068870,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Metcalfa
Micrathyria hagenii,1427654,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Micrathyria
Microstylum morosum,1657592,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Microstylum
Mitoura gryneus,1922049,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Mitoura
Murgantia histrionica,2078935,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Murgantia
Myodocha serripes,2008156,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Myodocha
Mythimna unipuncta,5772169,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna
Nathalis iole,1920192,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Nathalis
Nematocampa resistaria,1991012,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nematocampa
Neotibicen superbus,8679956,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen
Neurocordulia xanthosoma,1429665,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Neurocordulia
Nomophila nearctica,1881166,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Nomophila
Nycterosea obstipata,1970512,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Nycterosea
Obrium maculatum,1097962,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Obrium
Olla v-nigrum,4990178,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Olla
Ommatospila narcaeusalis,1887634,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Ommatospila
Orthemis ferruginea,1427825,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Orthemis
Osmia ribifloris,5039451,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia
Pacarina puella,7429737,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Pacarina
Pachypsylla celtidismamma,2014072,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Pachypsylla
Pachypsylla venusta,2014070,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Pachypsylla
Paleacrita vernata,1979726,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Paleacrita
Palpada vinetorum,1533385,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Palpada
Palpita quadristigmalis,1889850,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Palpita
Panoquina ocola,1943571,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Panoquina
Panorpa nuptialis,4987963,Animalia,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa
Pantala flavescens,1427855,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala
Pantala hymenaea,1427861,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala
Papilio rumiko,10038125,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Paracyrtophyllus robustus,1687729,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Paracyrtophyllus
Parapediasia teterrellus,4531624,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Parapediasia
Peridroma saucia,1792996,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Peridroma
Periplaneta americana,2000152,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta
Periplaneta fuliginosa,2000167,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta
Perithemis tenera,1428077,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Perithemis
Petrophila jaliscalis,5127339,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Petrophila
Phanogomphus militaris,10802941,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Phanogomphus
Phigalia strigataria,5144407,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phigalia
Phoebis agarithe,1919652,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Phoebis
Phyciodes phaon,1918984,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Phyciodes
Phyllogomphoides albrighti,1425407,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Phyllogomphoides
Phyllogomphoides stigmatus,1425435,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Phyllogomphoides
Plectrodera scalator,1141861,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Plectrodera
Pleuroprucha insulsaria,1968942,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Pleuroprucha
Plusiodonta compressipalpis,1788891,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Plusiodonta
Plutella xylostella,1831136,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella
Poecilocapsus lineatus,2011262,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Poecilocapsus
Pogonomyrmex barbatus,1325372,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pogonomyrmex
Polistes carolina,1310944,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Polistes exclamans,1310760,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Polistes metricus,1310805,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Polygonia interrogationis,5129451,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia
Ponana citrina,10012646,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Ponana
Prochoerodes lineola,1963848,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Prochoerodes
Promachus hinei,5090570,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Promachus
Protalebrella conica,2031845,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Protalebrella
Psamatodes abydata,9635418,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Psamatodes
Pseudomops septentrionalis,1997985,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Pseudomops
Pseudomyrmex gracilis,1327098,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pseudomyrmex
Psychomorpha epimenis,1784688,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Psychomorpha
Psyllobora renifer,1043578,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Psyllobora
Pycnoscelus surinamensis,1994767,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus
Pyrausta laticlavia,1890885,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta
Pyrisitia lisa,1919939,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pyrisitia
Rachiplusia ou,1766287,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Rachiplusia
Rhionaeschna multicolor,1424960,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Rhionaeschna
Safia amella,1766984,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Safia
Sceliphron caementarium,5041466,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sceliphron
Scelolophia pannaria,1957107,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Scelolophia
Schistocerca americana,1707282,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca
Schistocerca lineata,1707317,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca
Schistocerca nitens,1707345,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca
Schistocerca obscura,1707333,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca
Scolia dubia,1309715,Animalia,Arthropoda,Insecta,Hymenoptera,Scoliidae,Scolia
Scythris trivinctella,1841782,Animalia,Arthropoda,Insecta,Lepidoptera,Scythrididae,Scythris
Sehirus cinctus,2078783,Animalia,Arthropoda,Insecta,Hemiptera,Cydnidae,Sehirus
Semiothisa dislocaria,1958871,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Semiothisa
Sobara palliolata,5155060,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Sobara
Sparganothoides lentiginosana,9880932,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Sparganothoides
Speranza graphidaria,9585942,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Speranza
Sphex ichneumoneus,1347459,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sphex
Spodoptera frugiperda,5109855,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera
Spodoptera ornithogalli,5109845,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Spodoptera
Spoladea recurvalis,1886251,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Spoladea
Strategus aloeus,4995788,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Strategus
Stylurus plagiatus,5051898,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Stylurus
Sympetrum corruptum,1428276,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum
Synchlora frondaria,1962051,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Synchlora
Synclita obliteralis,1887087,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Synclita
Syrbula admirabilis,1706563,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Syrbula
Telebasis salva,5051361,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Telebasis
Tramea lacerata,1428475,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Tramea
Tramea onusta,1428484,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Tramea
Trichiotinus texanus,1081841,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Trichiotinus
Udea rubigalis,1887122,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea
Uresiphita reversalis,1881111,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Uresiphita
Vanessa atalanta,1898286,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa
Vespula squamosa,1311662,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula
Xylocopa mexicanorum,1342452,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa
Xylocopa micans,1342442,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa
Xylocopa tabaniformis,1342335,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa
Zale lunata,5112917,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Zale
Zelus longipes,2008843,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Zelus
Zelus renardii,2008840,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Zelus
Zerene cesonia,1920809,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Zerene
Zopherus nodulosus,1045253,Animalia,Arthropoda,Insecta,Coleoptera,Zopheridae,Zopherus
Procambarus clarkii,2227300,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus
Aphonopelma hentzi,2153618,Animalia,Arthropoda,NA,Araneae,Theraphosidae,Aphonopelma
Araneus bicentenarius,2160025,Animalia,Arthropoda,NA,Araneae,Araneidae,Araneus
Centruroides vittatus,7455866,Animalia,Arthropoda,NA,Scorpiones,Buthidae,Centruroides
Euagrus chisoseus,2153114,Animalia,Arthropoda,NA,Araneae,Dipluridae,Euagrus
Eucteniza relata,2140718,Animalia,Arthropoda,NA,Araneae,Euctenizidae,Eucteniza
Leiobunum townsendi,7837428,Animalia,Arthropoda,NA,Opiliones,Sclerosomatidae,Leiobunum
Leucauge venusta,2151568,Animalia,Arthropoda,NA,Araneae,Tetragnathidae,Leucauge
Metaltella simoni,2143658,Animalia,Arthropoda,NA,Araneae,Desidae,Metaltella
Neoscona crucifera,2158882,Animalia,Arthropoda,NA,Araneae,Araneidae,Neoscona
Oxyopes salticus,2178718,Animalia,Arthropoda,NA,Araneae,Oxyopidae,Oxyopes
Peucetia viridans,2178540,Animalia,Arthropoda,NA,Araneae,Oxyopidae,Peucetia
Phidippus audax,5173257,Animalia,Arthropoda,NA,Araneae,Salticidae,Phidippus
Platycryptus undatus,2171189,Animalia,Arthropoda,NA,Araneae,Salticidae,Platycryptus
Plexippus paykulli,2171214,Animalia,Arthropoda,NA,Araneae,Salticidae,Plexippus
Pseudouroctonus reddelli,6893018,Animalia,Arthropoda,NA,Scorpiones,Vaejovidae,Pseudouroctonus
Rabidosa rabida,2147079,Animalia,Arthropoda,NA,Araneae,Lycosidae,Rabidosa
Steatoda triangulosa,2157242,Animalia,Arthropoda,NA,Araneae,Theridiidae,Steatoda
Ameiurus melas,2340977,Animalia,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus
Gambusia affinis,2350580,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia
Herichthys cyanoguttatus,2373136,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herichthys
Lepomis auritus,2394491,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis
Lepomis cyanellus,2394494,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis
Lepomis macrochirus,2394503,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis
Lepomis megalotis,2394510,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis
Micropterus salmoides,2394563,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus
Acris blanchardi,2427610,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris
Eleutherodactylus campi,2424063,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus
Eleutherodactylus marnockii,2424267,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus
Incilius nebulifer,2422404,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius
Lithobates berlandieri,2427110,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates
Plethodon albagula,2431501,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon
Alopochen aegyptiaca,2498252,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen
Aythya marila,2498265,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya
Baeolophus atricristatus,2487919,Animalia,Chordata,Aves,Passeriformes,Paridae,Baeolophus
Botaurus lentiginosus,2480911,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus
Calidris minutilla,2481745,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Caracara cheriway,2480985,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara
Columbina inca,2495863,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina
Cygnus olor,2498343,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus
Dendrocygna autumnalis,2498393,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna
Egretta caerulea,2480894,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta
Ictinia mississippiensis,2480719,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia
Leiothlypis ruficapilla,7531611,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis
Megaceryle torquata,2475466,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle
Megascops asio,2497415,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops
Melanerpes aurifrons,2478081,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes
Motacilla alba,9687165,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla
Myiopsitta monachus,2479407,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta
Nyctanassa violacea,2480953,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nyctanassa
Passerina ciris,5230852,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina
Pelecanus erythrorhynchos,5229155,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus
Podiceps nigricollis,2482065,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps
Porzana carolina,2474639,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana
Progne subis,2489129,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne
Pyrocephalus rubinus,2483647,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus
Selasphorus rufus,2476855,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus
Tachybaptus dominicus,2482044,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus
Tringa melanoleuca,2481720,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa
Tyrannus couchii,5229684,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus
Tyrannus forficatus,5229687,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus
Bassariscus astutus,2433557,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus
Dasypus novemcinctus,2440779,Animalia,Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus
Lynx rufus,2435246,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx
Mephitis mephitis,5219380,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis
Sciurus niger,5219683,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus
Urocyon cinereoargenteus,2434566,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon
Aspidoscelis gularis,9013527,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis
Coluber flagellum,4287637,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber
Crotalus atrox,2444356,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus
Gerrhonotus infernalis,2468299,Animalia,Chordata,Reptilia,Squamata,Anguidae,Gerrhonotus
Haldea striatula,2458160,Animalia,Chordata,Reptilia,Squamata,Natricidae,Haldea
Hemidactylus turcicus,5221528,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus
Micrurus tener,5226950,Animalia,Chordata,Reptilia,Squamata,Elapidae,Micrurus
Nerodia erythrogaster,5223362,Animalia,Chordata,Reptilia,Squamata,Natricidae,Nerodia
Nerodia rhombifer,5223342,Animalia,Chordata,Reptilia,Squamata,Natricidae,Nerodia
Opheodrys aestivus,8984671,Animalia,Chordata,Reptilia,Squamata,Colubridae,Opheodrys
Pantherophis obsoletus,2455676,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis
Pseudemys texana,2442816,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys
Rena dulcis,5221748,Animalia,Chordata,Reptilia,Squamata,Leptotyphlopidae,Rena
Salvadora grahamiae,5224352,Animalia,Chordata,Reptilia,Squamata,Colubridae,Salvadora
Sceloporus olivaceus,2451154,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus
Scincella lateralis,2461434,Animalia,Chordata,Reptilia,Squamata,Scincidae,Scincella
Tantilla gracilis,2456417,Animalia,Chordata,Reptilia,Squamata,Colubridae,Tantilla
Thamnophis cyrtopsis,2457562,Animalia,Chordata,Reptilia,Squamata,Natricidae,Thamnophis
Thamnophis marcianus,9342283,Animalia,Chordata,Reptilia,Squamata,Natricidae,Thamnophis
Thamnophis proximus,2457575,Animalia,Chordata,Reptilia,Squamata,Natricidae,Thamnophis
Corbicula fluminea,8190231,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula
Belocaulus angustipes,9807546,Animalia,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus
Bradybaena similaris,2297154,Animalia,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Bradybaena
Helicina orbiculata,8789503,Animalia,Mollusca,Gastropoda,Cycloneritida,Helicinidae,Helicina
Milax gagates,2297108,Animalia,Mollusca,Gastropoda,Stylommatophora,Milacidae,Milax
Otala lactea,2294284,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Otala
Rumina decollata,2294129,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Rumina
Scutigera coleoptrata,5179027,Animalia,Arthropoda,Chilopoda,Scutigeromorpha,Scutigeridae,Scutigera
Apheloria virginiensis,4303122,Animalia,Arthropoda,Diplopoda,Polydesmida,Xystodesmidae,Apheloria
Narceus americanus,1027554,Animalia,Arthropoda,Diplopoda,Spirobolida,Spirobolidae,Narceus
Acrolophus panamae,5122683,Animalia,Arthropoda,Insecta,Lepidoptera,Acrolophidae,Acrolophus
Acrolophus popeanella,5122702,Animalia,Arthropoda,Insecta,Lepidoptera,Acrolophidae,Acrolophus
Acronicta americana,1783008,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta
Agrochola bicolorago,1790013,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola
Ancyloxypha numitor,1949697,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ancyloxypha
Argyrotaenia quercifoliana,1747150,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia
Calycopis cecrops,1922851,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Calycopis
Camponotus castaneus,5034675,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
Ceratomia catalpae,1861892,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Ceratomia
Chauliognathus marginatus,6067157,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Chauliognathus
Chrysochus auratus,1048357,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysochus
Cicindela sexguttata,1034887,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela
Crambus agitatellus,1880083,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus
Cyaniris neglecta,5139064,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris
Dissosteira carolina,1712343,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Dissosteira
Dolichovespula maculata,1311815,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula
Epicallima argenticinctella,10511237,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Epicallima
Epimecis hortaria,5149237,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epimecis
Euchaetes egle,5116353,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Euchaetes
Exomala orientalis,5875148,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,Exomala
Flatormenis proxima,8052787,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Flatormenis
Hemaris diffinis,1861836,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris
Labidomera clivicollis,1047370,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Labidomera
Leptoglossus oppositus,5156107,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus
Lethe anthedon,4299804,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lethe
Limenitis arthemis,5132084,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis
Malacosoma americana,5101728,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma
Megacyllene robiniae,1150515,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Megacyllene
Microcrambus elegans,1886378,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Microcrambus
Monobia quadridens,5036197,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Monobia
Necrophila americana,8424410,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,Necrophila
Odontotaenius disjunctus,6992074,Animalia,Arthropoda,Insecta,Coleoptera,Passalidae,Odontotaenius
Oncometopia orbona,2031562,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Oncometopia
Orgyia leucostigma,5925317,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Orgyia
Palthis asopialis,1781946,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Palthis
Papilio troilus,1938104,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Polistes fuscatus,1310556,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Polites peckius,1943982,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Polites
Pompeius verna,1950047,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pompeius
Popillia japonica,4425774,Animalia,Arthropoda,Insecta,Coleoptera,Rutelidae,Popillia
Promachus rufipes,5090482,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Promachus
Pselliopus barberi,2008586,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Pselliopus
