"species","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","AUCdiff","CBItest","threshold","nobs","nthin","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain"
"Cerastipsocus venosus",1031435,"Animalia","Arthropoda","Insecta","Psocodea","Psocidae","Cerastipsocus","Cerastipsocus_venosus.csv",0.715658526262952,0.0888267445319868,0.81525,0.58897378,457,453,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;21.4514;18.3395;0;0;1.1129;0;3.6277;0;14.9295;3.8455;34.9761;0.1855;1.5319","0;2.3711;3.606;0;0;0.0715;0;0.1103;0;1.3195;2.4749;83.7243;0.6208;5.7016","L",3,0.681624560542883
"Ceratitis capitata",1626096,"Animalia","Arthropoda","Insecta","Diptera","Tephritidae","Ceratitis","Ceratitis_capitata.csv",0.869328541044475,0.0547128775271383,0.76675,0.58381947,100,98,"AHM;CMD;CMI;DD18;DD_18;EMT;EXT;Eref;MCMT;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","24.6693;4.6113;3.0531;2.582;2.6363;4.7019;0.4349;10.9712;0.4711;1.1868;2.0294;11.252;3.8866;8.5251;1.7757;1.8935;15.3198","3.8741;0.6709;0.9152;0.1735;5.0549;1.9204;0.0307;8.5592;20.0935;2.7512;1.3448;5.6774;1.7333;6.8855;2.5261;24.8079;12.9815","P",0.5,0.973240316534777
"Ceratomia catalpae",1861892,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Ceratomia","Ceratomia_catalpae.csv",0.73433582504879,0.18020778285986,0.6875,0.63783772,705,702,"AHM;CMD;DD_0;EXT;MSP;MWMT;NFFD;PPT_at;PPT_sp;PPT_wt;RH","11.3197;0;37.0344;0;3.2724;0;21.8976;1.2646;23.6083;0;1.603","1.0314;1.9838;43.4326;0.552;1.2936;0;31.8859;1.9261;11.3807;0;6.514","Q",2.5,0.741571331735266
"Ceratomia undulosa",1861887,"Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Ceratomia","Ceratomia_undulosa.csv",0.654124484007103,0.193734908835917,0.58525,0.61654816,1686,1684,"CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","10.111;16.1008;0.4836;0.2122;17.698;32.5148;4.8263;1.8178;0.0016;15.1175;1.1165","1.0632;6.9133;3.3068;0.6924;10.1635;31.7212;2.4333;3.621;14.1847;16.6569;9.2437","P",2,0.737432501822815
"Cerceris fumipennis",7583949,"Animalia","Arthropoda","Insecta","Hymenoptera","Crabronidae","Cerceris","Cerceris_fumipennis.csv",0.722419853253421,0.157327187246918,0.81375,0.60018398,224,222,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","13.212;9.7291;0.4147;4.3892;0.9063;8.0837;6.9634;6.5127;2.9267;20.7041;15.1251;2.7303;6.9335;1.3691","1.6193;2.6071;0.6218;1.6611;1.7;7.1467;21.4909;21.4468;11.4717;11.8559;11.553;5.1243;0.8112;0.8902","H",0.5,0.818973903480946
"Cercyonis pegala",1915492,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cercyonis","Cercyonis_pegala.csv",0.67320248280241,0.14222520449522,0.5885,0.61471553,3141,3103,"AHM;CMD;CMI;DD_0;EMT;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;9.1012;0;23.6279;0;0;0;0.3882;0.8147;0;10.6105;0;55.4565;0;0.001","0;4.6166;0;17.1623;0;0;0;0.0248;2e-04;0;3.0056;0;75.1876;0;0.0029","Q",3,0.684545981273305
"Cerorhinca monocerata",2481324,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Cerorhinca","Cerorhinca_monocerata.csv",0.847100641494008,0.0955942559014205,0.9705,0.54644288,4648,900,"AHM;CMD;DD18;DD_0;MSP;MWMT;PAS;PPT_wt;RH;SHM;bFFP","0;16.148;0.6;0.0245;0;0;0;10.2664;1.5153;0;71.4458","0;6.9565;11.5275;0.0048;0;0;0;5.7874;5.3441;0;70.3798","Q",3,0.913501872659176
"Certhia americana",9581157,"Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia_americana.csv",0.767402568435275,0.0638268633127312,0.989,0.59632647,63962,63300,"AHM;CMD;CMI;DD1040;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;30.4134;0;15.4643;49.3389;0;0;0;0;0;0;0.1556;0;4.6278","0;40.9342;0;4.2159;54.2145;0.0045;0;0;0;0;0;0;0;0.6309","Q",3,0.75042700568246
"Chaetura pelagica",4409023,"Animalia","Chordata","Aves","Apodiformes","Apodidae","Chaetura","Chaetura_pelagica.csv",0.70917280848433,0.0551042471556539,0.96325,0.57800092,58129,57428,"AHM;CMD;DD_0;EXT;Eref;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","1.6107;14.2234;0.3064;0;9.4599;0;14.3787;3.8052;2.184;0;26.9385;20.4134;0;0;6.6799","0.0944;1.4069;0.5239;0;8.2492;0;12.111;0.1497;0.1355;0;71.2063;2.3767;0;0;3.7465","LQHP",2.5,0.779880138173862
"Chaetura vauxi",5228612,"Animalia","Chordata","Aves","Apodiformes","Apodidae","Chaetura","Chaetura_vauxi.csv",0.76428956445697,0.159288815319996,0.8845,0.5745099,12191,11026,"AHM;CMD;DD18;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;RH;SHM;bFFP","2.0742;8.4061;12.0937;24.279;12.3775;6.7605;12.2643;10.6743;0.3677;4.7805;1.595;0.3698;3.9572","5.6548;11.1811;2.6523;31.7658;4.3336;6.8308;1.4351;0.9771;1.3142;22.9033;9.3431;0.8595;0.7492","LQHP",0.5,0.830729616839759
"Chalybion californicum",1347304,"Animalia","Arthropoda","Insecta","Hymenoptera","Sphecidae","Chalybion","Chalybion_californicum.csv",0.685246824582143,0.154486114277131,0.5795,0.59210603,1211,1199,"AHM;CMD;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","3.4358;7.8668;3.0354;4.7605;7.576;2.4713;10.7423;3.3854;15.7886;18.5572;7.7762;3.4967;9.6374;1.4704","0.5332;1.8658;1.3968;1.6022;0.7536;4.0569;11.6609;1.7108;2.0368;12.7177;35.791;22.2998;3.0862;0.4883","H",0.5,0.772578495547636
"Chamaea fasciata",2493558,"Animalia","Chordata","Aves","Passeriformes","Sylviidae","Chamaea","Chamaea_fasciata.csv",0.579653642592269,0.192245509168536,0.9825,0.62553298,5377,5296,"AHM;CMD;DD18;DD_0;EXT;MCMT;NFFD;PAS;PPT_sm;PPT_sp;RH;SHM;Tave_sp","13.7754;0;0.0946;74.816;0;0;0;0;2.2961;7.4403;0;0;1.5776","0.7521;0.9635;0.0574;4.6371;0;13.1349;16.9892;0;0.0291;63.1665;0;0;0.2702","LQHP",2,0.795536921041274
"Charadrius melodus",2480283,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius_melodus.csv",0.793027366571238,0.0761350399873092,0.94375,0.4848858,4141,2874,"CMD;CMI;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","9.1374;0.997;1.6029;0.0477;0.0574;2.8901;13.0552;3.3558;0.0062;2.368;1.0126;12.8937;52.2962;0.2797","1.1315;0.0711;0.5742;0.0435;0.0297;0.8336;1.8286;6.7741;0.303;0.8563;1.3387;6.3416;79.8172;0.0567","LQH",1,0.857413116469394
"Charadrius nivosus",6065879,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius_nivosus.csv",0.742995157765418,0.121788653086531,0.919,0.50966578,3879,2894,"AHM;CMD;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","8.0311;0.6345;8.5305;11.9434;9.5824;0.4326;9.5981;9.7143;4.4986;3.8442;0.9546;12.9005;5.4487;13.8864","1.0547;0.878;23.5796;1.6729;3.1723;10.5166;3.5767;15.6829;0.5838;3.6156;0.3643;22.3712;3.5096;9.4219","LQHP",1,0.867247916989704
"Charadrius semipalmatus",2480295,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius_semipalmatus.csv",0.769078406849957,0.0746268282531553,0.9745,0.58135132,21805,19189,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0.8184;30.3297;0;15.17;13.7603;0.0776;0.6648;1.2062;4.9094;9.1567;0;15.4314;7.1074;1.3682","0.0581;15.628;0;23.2481;10.6582;1.6829;2.2213;0.0945;0.3207;2.7068;0.2583;10.7703;0.5913;31.7617","P",1,0.782864434155566
"Charadrius vociferus",2480320,"Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius_vociferus.csv",0.703599185464529,0.140572494654613,0.896,0.57896982,127041,123984,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;44.2947;0;27.7709;27.9344;0;0;0;0;0;0;0;0;0","0;20.8978;0;61.7114;12.2479;0;5.1429;0;0;0;0;0;0;0","Q",3,0.728151383612663
"Charidotella sexpunctata",1047598,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Charidotella","Charidotella_sexpunctata.csv",0.651926186437946,0.15992949711806,0.67325,0.612363,641,635,"AHM;CMD;CMI;DD1040;DD_0;EXT;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","1.1957;2.6926;10.6306;18.5129;6.9024;3.7305;3.3604;2.0813;2.4304;3.7171;7.4117;15.5547;8.9018;9.3802;0;3.4975","0.1745;0.1612;1.2245;17.2369;5.8846;1.5174;1.9714;0.8277;1.3967;7.5074;2.3235;14.9008;26.9761;16.933;0.3102;0.6542","LQH",1,0.751904753200104
"Charina bottae",5225695,"Animalia","Chordata","Reptilia","Squamata","Boidae","Charina","Charina_bottae.csv",0.821337346281087,0.094782379416779,0.96025,0.53540083,668,637,"AHM;DD18;DD_0;EMT;EXT;Eref;PAS;PPT_at;PPT_sm;PPT_wt;RH;SHM;Tave_sp","12.4936;8.15;5.5008;2.5103;18.0248;16.0403;1.4109;4.2988;11.1929;5.9475;3.4186;6.1606;4.8509","0.3445;15.8262;1.1337;0.5551;14.5864;3.5633;0.2838;1.3992;4.502;38.8729;1.2492;16.9846;0.699","LQH",0.5,0.892027106145279
"Chauliognathus basalis",6067166,"Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","Chauliognathus","Chauliognathus_basalis.csv",0.824062630526767,0.114749667143476,0.715,0.54611083,217,217,"AHM;CMI;DD18;DD_0;EXT;MAP;MCMT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","19.9032;1.9025;13.5871;15.3316;3.3881;0.5457;0.1882;0;12.0834;1.3291;22.477;0.3045;4.0304;4.9291","3.3541;0.4196;3.3928;7.0651;5.3099;0.2282;23.8065;22.515;5.5483;0.1957;22.2163;2.871;2.7039;0.3736","LQHP",1.5,0.846798327397253
"Chauliognathus marginatus",6067157,"Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","Chauliognathus","Chauliognathus_marginatus.csv",0.743810405307816,0.129452129045062,0.71775,0.58074657,1933,1922,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;10.9886;21.3689;0;0;2.2882;0;28.5096;6.3087;0;13.2282;0;17.3078;0","0;32.2905;10.8816;0;0;1.4354;0;10.6188;4.6895;0;11.7302;0;28.3541;0","L",3,0.740277831073471
"Chauliognathus pensylvanicus",7596343,"Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","Chauliognathus","Chauliognathus_pensylvanicus.csv",0.721017540786738,0.0924057991996464,0.94975,0.57120528,3259,3253,"AHM;CMD;DD_0;EXT;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0.2708;17.312;28.3221;6.6478;0.5375;0;20.6547;1.2302;0.2585;10.8982;3.008;10.8601;0","4.5086;26.5618;12.7485;11.922;22.0056;0;3.6383;4.6021;0.0473;6.6163;0.6364;6.7132;0","P",3,0.695850875405371
"Cheiracanthium mildei",2164198,"Animalia","Arthropoda","Arachnida","Araneae","Cheiracanthiidae","Cheiracanthium","Cheiracanthium_mildei.csv",0.733313052428049,0.163779227214478,0.83625,0.53263934,428,426,"AHM;CMD;CMI;DD1040;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.051;0;0.9762;35.4933;0.6835;2.7124;0;6.9001;0.9378;0;3.2816;3.1342;16.1878;24.1649;3.4772","11.0139;0.5769;0.0954;23.6694;1.4051;0.3324;0.0092;13.0089;0.6632;0.0715;1.5507;1.3324;29.7675;12.2805;4.223","H",1.5,0.81975561331046
"Chelonia mydas",2442225,"Animalia","Chordata","Reptilia","Testudines","Cheloniidae","Chelonia","Chelonia_mydas.csv",0.834329292128975,0.0878583461868936,0.949,0.50966557,2940,555,"AHM;CMD;CMI;DD_0;EMT;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","0.3209;6.9465;0;0;14.563;2.7906;18.6946;2.6452;13.4848;0.7983;0.3996;0.5187;1.9476;23.5178;0.0204;13.3493;0.0025","1.2462;0.2877;7e-04;0.2894;24.0183;0.8251;2.1579;3.2051;9.0798;3.1403;1.3793;0.5752;1.1164;47.0087;0.0955;3.8194;1.7551","L",0.5,0.873877205607975
"Chelydra serpentina",2441905,"Animalia","Chordata","Reptilia","Testudines","Chelydridae","Chelydra","Chelydra_serpentina.csv",0.712538569027049,0.0864634761268623,0.9085,0.60257236,8855,8807,"AHM;CMD;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","7.4334;22.4125;19.9081;0.1132;0;9.1729;25.5383;2.4192;1.837;0;5.1641;0;6.0013","9.2503;31.6972;9.9754;11.0154;0.4106;2.1918;3.3131;0.4721;0.0436;0;4.6874;0.9328;26.0102","P",2,0.748145431397308
"Chelymorpha cribraria",4990605,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chelymorpha","Chelymorpha_cribraria.csv",0.916175398730921,0.0545006398945801,0.66375,0.56756182,41,30,"AHM;CMD;EXT;Eref;MWMT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;SHM;eFFP","0.7212;13.4615;0;5.7692;1.2019;0;27.8846;0;0;0;7.9327;43.0288","2.7946;10.7554;36.7903;27.2572;0.0359;0;2.4117;0;0.8043;0;1.4948;17.6559","LQHP",1.5,0.964285714285714
"Chen caerulescens",2498165,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen","Chen_caerulescens.csv",0.728172917324793,0.142077118111419,0.871,0.62941799,38443,37759,"AHM;CMD;CMI;DD18;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","3.957;9.7654;0;37.9854;14.2342;6.6349;1.0774;11.5;0;0.0702;4.5623;8.4693;0;1.7438","4.4294;3.9095;0;16.5118;34.1645;3.5758;0.4224;1.479;0;5.4004;2.492;4.3943;0.5365;22.6844","P",1.5,0.785193363756439
"Chen rossii",2498160,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Chen","Chen_rossii.csv",0.746741440364391,0.123070340362218,0.87875,0.61956662,12594,12478,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","9.8505;25.3939;0;1.7722;10.0782;9.3245;1.752;14.8783;1.8155;0.9258;6.6528;10.5332;4.6691;2.3539","20.7594;10.1494;0;2.1089;9.7794;4.2172;3.9761;6.2019;1.6914;19.0069;4.5426;8.7774;1.2532;7.5362","P",1,0.751408432157757
"Chimarocephala pacifica",1711418,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chimarocephala","Chimarocephala_pacifica.csv",0.821826811933543,0.0840621297953975,0.84275,0.47729235,216,213,"AHM;CMD;MSP;MWMT;PAS;PPT_at;PPT_sm;RH;SHM;Tave_sp;bFFP","5.9788;1.2163;2.1162;12.1302;36.3864;17.9076;4.2735;0.9903;9.4921;0;9.5085","0.7042;0.1308;1.1546;5.2431;29.7713;36.149;2.3512;1.9143;1.7534;0.0068;20.8212","H",0.5,0.901540966227472
"Chinavia hilaris",10671194,"Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Chinavia","Chinavia_hilaris.csv",0.720733235066828,0.15837184975189,0.7055,0.54270463,4027,4005,"AHM;CMD;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.3176;28.109;12.9422;0.5034;4.4084;11.2567;6.5954;5.7937;10.7119;8.0724;1.4132;0.1394;0.846;6.8907","5.2168;25.0685;8.7173;1.3088;10.4337;6.541;4.6458;1.6514;1.5576;4.8746;3.3862;0.8889;0.0383;25.6709","P",0.5,0.795042070412182
"Chioides catillus",1948446,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Chioides","Chioides_catillus.csv",0.790772321866118,0.101888800212823,0.85825,0.5663976,472,456,"CMD;DD_0;EMT;EXT;Eref;MSP;MWMT;PAS;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","37.2751;0.2674;10.884;1.2712;0;20.9257;0.0219;12.2833;1.6031;4.6995;0.545;1.9423;1.9889;6.2927","3.5378;1.3946;0.675;12.585;3.8796;5.8843;3.2589;13.4228;22.8654;3.9261;12.1148;11.4055;2.7787;2.2714","P",1.5,0.812096536146511
"Chlidonias niger",2481119,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias_niger.csv",0.758371925805779,0.0619329008494626,0.88675,0.56750975,18652,16526,"AHM;CMD;CMI;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;27.5045;0;12.4427;12.4018;16.5056;0;0;0;0.128;13.4542;2.8808;0.9588;0;13.7235","0;28.8196;0;15.7318;12.5;7.4553;0;0;0;0.016;6.2713;16.6509;2.6631;0.9904;8.9016","LQ",1.5,0.751427198872574
"Chlorochlamys chloroleucaria",5806132,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chlorochlamys","Chlorochlamys_chloroleucaria.csv",0.758972559301453,0.0782649394417504,0.8265,0.57764929,1051,1048,"AHM;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","6.5393;3.7757;18.0502;17.9307;1.7161;6.2191;7.1974;10.3847;23.8725;3.0329;0.2254;1.0561","0.2865;6.6128;4.1112;12.1133;12.7593;7.0004;1.3415;16.0836;35.8035;0.5014;0.0204;3.3661","LQH",1,0.757697276567968
"Chlosyne lacinia",1914465,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne_lacinia.csv",0.759857082807902,0.165126000881699,0.7615,0.56682801,1597,1560,"CMD;DD18;DD_0;EXT;Eref;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0.5993;3.2609;35.2809;0.1025;0;0;0;29.4665;11.972;12.9263;0.2017;2.5735;3.6166","0.0255;0.6151;1.0069;0.0852;0;0;33.8408;29.6833;11.532;15.8606;0.1805;4.4765;2.6936","H",3,0.771307062590356
"Chlosyne nycteis",1914458,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne_nycteis.csv",0.653777042758542,0.167662463564786,0.5145,0.61659305,1924,1921,"CMD;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","10.5078;22.8798;0;0.634;9.9141;19.7529;13.9073;0.0633;6.7079;0.0868;11.7137;3.8325","12.9907;23.0093;3.0794;19.2561;1.7837;5.2469;5.4573;6.8862;3.596;4.9748;4.07;9.6497","P",1.5,0.748162924581457
"Chlosyne palla",1914421,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne_palla.csv",0.798572224076414,0.120472704932016,0.93775,0.50248255,390,389,"AHM;CMD;DD18;DD_0;EMT;EXT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;RH;SHM;bFFP","18.5163;8.2192;16.0324;0.3776;9.7477;5.6923;0.1166;15.628;2.2409;3.8915;8.9383;1.1821;7.0842;2.3331","0.9868;11.5339;2.537;0.1671;0.5226;2.6253;0.6771;18.6332;11.7444;1.5651;37.5367;0.9109;0.6617;9.8982","LQH",0.5,0.866473776451878
"Choephora fungorum",1782523,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Choephora","Choephora_fungorum.csv",0.696360631881619,0.119688734600369,0.7115,0.56962587,592,588,"AHM;CMD;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;bFFP","3.2846;2.7662;13.3265;3.4465;2.6944;22.8647;0;24.6811;17.7349;6.4357;2.7654","0.3503;1.2422;2.4018;8.0054;18.908;16.7079;0.0545;20.2004;12.8941;4.1576;15.0778","H",1,0.775847569502166
"Chondestes grammacus",2491651,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Chondestes","Chondestes_grammacus.csv",0.725221990253702,0.0773617901652259,0.91175,0.59707108,42546,42286,"AHM;CMD;DD_0;EXT;MCMT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","6.7681;14.2519;21.2771;14.5787;0;23.8651;0;0.1716;0;0;12.196;3.3785;0;3.513","5.4229;3.2478;29.4022;20.446;3.6115;14.4807;0.4924;14.316;0;0;4.2565;3.2925;0;1.0313","L",1,0.754144924386696
"Chordeiles acutipennis",2497052,"Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Chordeiles","Chordeiles_acutipennis.csv",0.710435334932544,0.101497794903854,0.83025,0.59659728,6501,5877,"AHM;CMD;DD_0;EMT;EXT;Eref;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","10.6216;13.2864;10.5599;1.1633;0.1471;0.2902;9.936;0;0.9555;6.5335;17.0975;10.9565;0;0.0918;18.3608","22.1076;10.0968;8.8145;0.0492;6.4965;3.0902;7.2809;7.3017;0.0745;5.4383;13.4557;9.4031;0;0.0201;6.371","P",1,0.794797992393795
"Chordeiles minor",2497035,"Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Chordeiles","Chordeiles_minor.csv",0.714791984935661,0.0647565477862237,0.94875,0.56311246,56532,55732,"AHM;CMD;CMI;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;18.938;0;57.1742;6.1081;12.2642;0;2.8065;0;0.0043;2.7046;0;0;0;0","0;19.3119;1.3296;69.052;5.0202;3.5451;0;0.3497;0;0.576;0.4548;0;0.3607;0;0","Q",0.5,0.728788101988914
"Chorizagrotis auxiliaris",1784677,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Chorizagrotis","Chorizagrotis_auxiliaris.csv",0.631567813099059,0.0840510055630403,0.6195,0.57321944,420,419,"AHM;CMD;DD18;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_wt;RH;SHM;bFFP","0.8336;20.5504;6.297;6.3701;24.7249;1.4546;9.11;0.1437;1.2776;1.9133;12.2422;0.027;15.0556","0.5698;7.8505;5.1917;11.3472;38.1821;1.7285;6.0218;0.1049;0.1038;7.0406;12.3911;0.0044;9.4635","Q",0.5,0.657653638142721
"Chortophaga viridifasciata",1711777,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Chortophaga","Chortophaga_viridifasciata.csv",0.70173627719432,0.102127039694368,0.76675,0.6026656,2135,2124,"AHM;CMD;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0.2449;19.4005;24.4765;5.5441;16.776;7.5229;1.0492;15.1176;2.2604;0;7.27;0.3379;0","1.1981;13.9798;45.7085;0.2215;8.8637;14.1365;0.0256;2.1941;0.4748;0;13.0842;0.1095;0.0037","Q",0.5,0.729406824636334
"Chroicocephalus philadelphia",6065818,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus_philadelphia.csv",0.765087351885212,0.0640147734999106,0.938,0.58539447,30412,25874,"AHM;CMD;CMI;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.4644;29.4995;0;12.5283;14.8259;1.8977;5.571;7.9063;7.7126;0.7763;11.9053;3.3905;1.5223","0.3899;18.2567;0;21.3869;16.1536;3.0254;1.7117;0.6212;1.228;1.127;7.4319;0.6257;28.0419","P",1,0.762803133281476
"Chroicocephalus ridibundus",6065824,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus_ridibundus.csv",0.868142015064931,0.0431316829998204,0.96125,0.46287225,1234,994,"AHM;CMD;CMI;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","8.8678;16.1456;0.0536;1.6566;0.6236;3.6763;6.8095;0.7305;5.6562;15.1599;16.4529;21.6564;2.5111","16.3897;1.5801;0.0247;3.4716;3.636;0.5724;1.6672;0.4499;2.4895;20.5144;45.4901;1.2811;2.4333","LQHP",0.5,0.896778848739446
"Chrysemys picta",2443133,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Chrysemys","Chrysemys_picta.csv",0.745655507765741,0.121569640908702,0.91325,0.59109184,7768,7728,"AHM;CMD;CMI;DD18;DD_0;EMT;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","5.5353;7.7231;0;11.4669;3.4366;0.3337;0.0287;2.8515;23.4878;7.6012;18.4795;6.6698;1.2586;0.0231;11.0778;0.0265","3.2067;13.2823;0.0183;24.7446;11.486;1.748;1.9264;5.715;0.628;24.623;2.6594;3.4718;0.6166;0.057;1.8407;3.9763","P",0.5,0.816532417575085
"Chrysochus auratus",1048357,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chrysochus","Chrysochus_auratus.csv",0.821948604601933,0.0978492582866606,0.94025,0.54206425,1717,1708,"CMI;DD_0;EXT;Eref;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","3.5522;8.157;2.4418;29.9106;0.5163;1.5813;1.5579;9.0598;21.8276;1.0877;0.7773;19.5304","1.3101;7.2486;10.3101;12.0536;0.1186;7.8819;1.396;9.3165;39.7374;1.4299;0.1324;9.0647","LQH",0.5,0.827131614488298
"Chrysolina bankii",4460057,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chrysolina","Chrysolina_bankii.csv",0.86947429627553,0.0626182376640862,0.76,0.54293455,131,120,"CMD;DD_0;DD_18;EXT;MSP;MWMT;PAS;PPT_sp;PPT_wt;RH;SHM;Tave_at;Tave_sp;bFFP","0;0;0;1.8833;0;89.1064;0.2585;2.4003;0;0;0;0;0;6.3516","0;0;0;1.2297;0;97.5856;0.0196;0.2601;0;0;0;0;0;0.905","H",2.5,0.942456896551724
